Ticker,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income,Net Income Com,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Total liabilities,Total shareholders equity,Net Debt,Depreciation & Amortization,Operating Cash Flow,Capital Expenditure,Free Cash Flow,priceEarningsToGrowthRatio,dividendYield,enterpriseValueMultiple,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,inventoryTurnover,assetTurnover,currentRatio,quickRatio,debtRatio,debtEquityRatio,interestCoverage,Revenue per Share,Book Value per Share,Market Cap,Enterprise Value,PE ratio,PFCF ratio,EV to Sales,Enterprise Value over EBITDA,Earnings Yield,Debt to Equity,Debt to Assets,ROIC,Working Capital,ROE,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,Operating Cash Flow growth,Free Cash Flow growth,Asset Growth,Book Value per Share Growth,Debt Growth,Sector,2015 PRICE VAR [%],Class
ABEV,5811623250.0,-0.0376,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,0.2891,0.2854,0.1209,0.6635,0.1769,0.4083,0.119,0.3792,976678204.7,704315387.1,668219250.0,5000000.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,613819001.1,1022080360.0,7722981625.0,3681276750.0,4745816.0,274576875.0,770537959.3,-329093375.0,367551375.0,7.110401097,0.052068448,5.415119534,0.316847778,0.294875,0.2858,0.1898375,11.5226,0.527835572,0.3567,0.61691287,0.0377,0.0645,10.5378,6.4746,1.0124,8118979393.0,1148673600.0,21.515,6.747,2.2776,10.0823,0.0465,0.0645,0.0377,0.1898375,-280857000,0.2858,-0.0471,-0.0516,-0.0873,0.1193,-0.09,-0.0469,-0.0704,-0.0742,-0.1292,-0.1695,Consumer Defensive,-22.6053125,0
TAL,313895205.0,0.3893,151543116.0,162352089.0,0.0,106060908.0,104956158.0,57395931.0,0.0,67285526.0,6679754.0,60605772.0,60605772.0,0.13,0.127,0.35,0.5172,0.246,0.2144,0.193,0.2892,77296860.0,67285526.0,270256259.0,0.0,270256259.0,0.0,181759.0,300376622.0,427598767.0,3163061.0,0.0,166756326.0,0.0,0.0,167602366.0,259996401.0,4745816.0,10011334.0,101558366.0,-10793093.0,90765273.0,3.220970583,0.002559596,3.496342012,0.19307645,0.2855,0.2331,0.0,24.3218125,0.73408819,1.801,1.620665707,0.0,0.0,0.0,0.6676,0.553,8118979393.0,1148673600.0,30.41,6.8263,2.2776,10.0823,0.0329,0.0,0.0,0.0,133620296,0.2331,0.4735,0.7923,0.7927,0.8124,0.8571,0.5526,0.5297,0.353,0.3488,0.0,Consumer Defensive,65.37366546,1
BRFS,5811623250.0,-0.0745,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,132407059.7,414820319.0,412967495.5,0.9598,0.9594,0.1363,0.2934,0.0668,0.1775,0.0289,0.0001,976678204.7,704315387.1,668219250.0,5000000.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,0.0,925910625.0,1354699625.0,3334118750.0,7665715359.0,3681276750.0,4745816.0,462035.2985,1878257.604,-513668.7946,1364588.81,8.842095663,3.69e-05,7.374742958,0.076706152,0.0714,0.1427,0.1102,8.9929,0.803430119,0.6864,1.035332476,0.3407,0.7891,2.0024,69.69345,6.7262,4241530000.0,1148673600.0,24.328,51.7294375,2.2776,10.0823,0.0411,0.7891,0.3407,0.1102,554673000,0.1427,0.0918,0.6563,0.6252,0.8568,0.8483,-0.9987,-0.9983,-0.0113,-0.0567,0.0349,Consumer Defensive,-38.54874898,0
KHC,5811623250.0,0.06185,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,131000000.0,414820319.0,-63000000.0,-0.17,-0.17,0.0,0.3,0.183,0.135,-0.006,0.1594,976678204.7,704315387.1,668219250.0,0.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,0.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,3681276750.0,257066361.9,274576875.0,770537959.3,-329093375.0,367551375.0,16.20936225,0.002559596,7.81237525,0.060153818,0.1569,0.0923,0.0433,3.3761,0.298651937,1.59,1.01843467,0.3653,1.8769,2.1487,11.4906,10.419,8118979393.0,8684481125.0,0.0,22.0915,9.5336,25.603525,-0.0099,1.8769,0.3653,0.0433,554673000,0.0923,0.0722,0.0655,0.061,0.0591,0.0963,0.00735,-0.0882,0.0622,0.0371,0.0,Consumer Defensive,2.065963248,1
NWL,5727000000.0,0.0214,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,604700000.0,60400000.0,466900000.0,89100000.0,377800000.0,377800000.0,1.37,1.35,0.66,0.3847,0.119,0.0921,0.066,0.0825,683400000.0,527300000.0,199400000.0,0.0,199400000.0,719095625.0,243529375.0,1679544766.0,6564300000.0,431050863.6,44812500.0,925910625.0,1354699625.0,2481900000.0,4709400000.0,1851400000.0,257066361.9,156100000.0,634100000.0,-161900000.0,367551375.0,24.59299727,0.019642169,16.93756858,0.065968221,0.294875,0.2041,0.0776,8.2231,0.872446415,1.214,0.766493699,0.3781,1.3406,8.7301,20.7425,6.706,8118979393.0,8684481125.0,27.8029,22.2716,2.2016,18.45,0.036,1.3406,0.3781,0.0776,403600000,0.2041,0.0369,-0.1948,-0.0169,-0.204,-0.1646,0.0478,0.0111,0.0815,-0.0658,0.3515,Consumer Defensive,18.60384524,1
KMB,5811623250.0,0.0083,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,4.07,4.04,1.55,0.3388,0.179,0.1352,0.077,0.0916,976678204.7,704315387.1,668219250.0,0.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,729000000.0,257066361.9,274576875.0,770537959.3,-329093375.0,367551375.0,24.38697892,0.033750258,12.36778056,0.077367674,0.228,0.3776875,0.1647,9.5632,1.27038516,0.893,0.483777706,0.448,2.428325,9.3873,52.9567,1.957,8118979393.0,8684481125.0,28.3882,23.8281,2.4944,13.9457,0.0352,2.428325,0.448,0.1647,-280857000,0.37735,0.0112,-0.1802,-0.1316,-0.2876,-0.2706,-0.0641,-0.185,-0.1793,-0.35185,0.2074,Consumer Defensive,13.74582892,1
CPB,5811623250.0,0.0268,2893247664.0,2153408831.0,21775625.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,2.76,2.74,1.248,0.3593,0.202,0.1647,0.105,0.0694,976678204.7,704315387.1,232000000.0,0.0,232000000.0,670000000.0,243529375.0,1679544766.0,8113000000.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,6510000000.0,1615000000.0,257066361.9,274576875.0,770537959.3,-325000000.0,367551375.0,13.37988083,0.033744781,8.43609886,0.104741171,0.294875,0.3776875,0.1186,8.5193,1.01910514,0.703,0.301773168,0.4949,2.428325,11.1639,26.3312,5.143,8118979393.0,8684481125.0,15.3007,23.1014,2.0609,10.2217,0.0654,2.428325,0.4949,0.1186,-280857000,0.37735,0.0203,0.5691,0.1731,0.8908,0.8904,-0.1178,-0.1657,-0.0252,0.3269,-0.0984,Consumer Defensive,22.62876272,1
TGT,5811623250.0,-0.0276,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,3.1,3.07,1.55,0.298,0.09,0.0624,0.028,0.066,976678204.7,704315387.1,668219250.0,0.0,448755875.0,0.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,3681276750.0,257066361.9,274576875.0,770537959.3,-329093375.0,367551375.0,3.220970583,0.002559596,1.877851932,0.027651903,0.0782,0.1214,0.0926,8.8102,1.599869818,0.906,0.052437974,0.2822,0.7746,4.2393,69.69345,25.557,8118979393.0,8684481125.0,17.8742,7.4811,0.6583,7.2832,0.0559,0.7746,0.2822,0.0926,-280857000,0.1214,-0.0461,-0.1801,-0.1674,-0.3428,-0.3217,0.2244,0.5448,-0.075,0.0136,-0.2876,Consumer Defensive,-0.840647561,0
HRL,5811623250.0,0.0645,2893247664.0,1564983000.0,0.0,650948000.0,650948000.0,660809250.0,12704000.0,520197135.2,135910625.0,414820319.0,412967495.5,1.14,1.12,0.4,0.168,0.114,0.1,0.065,0.0642,976678204.7,704315387.1,334174000.0,0.0,334174000.0,609526000.0,243529375.0,1679544766.0,5455619000.0,431050863.6,0.0,925910625.0,250000000.0,250000000.0,1843563000.0,3605678000.0,-84174000.0,130044000.0,746879000.0,-148853000.0,367551375.0,21.07661237,0.015993526,12.51618011,0.064690902,0.2765,0.1671,0.1373,9.2125,1.707644174,2.234,0.988486339,0.0458,0.0693,18.4580625,17.657,6.834,8118979393.0,8684481125.0,23.0395,23.173,1.4765,12.9576,0.0434,0.0693,0.0458,0.1373,554673000,0.1671,0.1077,0.1541,0.1637,0.1453,0.1457,0.171,0.105,0.1098,0.0912,0.0,Consumer Defensive,58.66678306,1
CAG,5811623250.0,-0.1211,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,481400000.0,135910625.0,303100000.0,303100000.0,0.72,0.7,1.0,0.2473,0.103,0.0726,0.026,0.0969,976678204.7,704315387.1,141300000.0,0.0,141300000.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,3681276750.0,257066361.9,274576875.0,770537959.3,-329093375.0,367551375.0,29.84733508,0.044828607,15.03987952,0.025603555,0.058,0.0576,0.0431,5.3592,0.612759129,1.601,0.454019074,0.4631,1.7013,2.2752,28.109,12.486,8118979393.0,8684481125.0,34.1115,9.0141,1.6175,15.7798,0.0293,1.7013,0.4631,0.0431,554673000,0.0576,-0.13,-0.3917,-0.1159,-0.6083,-0.617,0.1107,0.1388,-0.0532,-0.0114,-0.0671,Consumer Defensive,21.62501551,1
PEP,5811623250.0,0.004,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,4.31,4.27,1.55,0.5315,0.184,0.1443,0.098,0.1164,976678204.7,704315387.1,668219250.0,5000000.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,3681276750.0,257066361.9,274576875.0,770537959.3,-329093375.0,367551375.0,19.61350147,0.029199312,12.87748939,0.097671071,0.294875,0.3705,0.1227,20.355,0.945737424,1.142,0.849933672,0.4098,1.6439,10.5842,44.1902,11.649,8118979393.0,8684481125.0,22.4432,18.8051,2.4735,13.4687,0.0446,1.6439,0.4098,0.1227,554673000,0.3705,0.0078,-0.0137,-0.0128,-0.0337,-0.0137,0.0844,0.1085,-0.0899,-0.2646,-0.025,Consumer Defensive,8.886701374,1
COST,5811623250.0,0.0712,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,4.69,4.65,1.33,0.1259,0.038,0.0291,0.018,0.0177,976678204.7,704315387.1,668219250.0,5000000.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,0.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,3681276750.0,-168994603.1,274576875.0,770537959.3,-329093375.0,367551375.0,22.88446937,0.012400141,13.44331352,0.018270597,0.1143,0.1673,0.1816,13.7786,2.232700923,1.22,0.587218984,0.1542,0.414,18.4580625,69.69345,28.045,8118979393.0,8684481125.0,25.919,26.7843,0.4533,11.849,0.0386,0.414,0.1542,0.1816,554673000,0.1673,0.0737,0.0486,0.0547,0.0093,0.0021,0.1592,0.4705,0.0905,0.1281,0.019,Consumer Defensive,19.06252433,1
COTY,4551600000.0,-0.021,1865700000.0,2153408831.0,0.0,818209625.0,1392664375.0,25700000.0,68500000.0,-77300000.0,20100000.0,-97400000.0,-97400000.0,-0.26,-0.26,0.2,0.5901,0.053,-0.0019,-0.021,0.0736,241900000.0,-8800000.0,668219250.0,0.0,448755875.0,664800000.0,243529375.0,1679544766.0,6592500000.0,431050863.6,33400000.0,925910625.0,1354699625.0,3293500000.0,5631900000.0,843800000.0,257066361.9,250700000.0,536500000.0,-201500000.0,335000000.0,16.20936225,0.013008957,21.24082482,-0.021399068,-0.0564,-0.1154,0.0044,7.4275,0.690420933,1.743,1.191260252,0.4996,2.428325,-0.1285,11.9245,2.211,6499584973.0,8555084973.0,0.0,19.518,1.8796,25.603525,-0.0152,2.428325,0.4996,0.0044,554673000,-0.1154,-0.0369,-1.0244,-0.9315,-1.4557,-1.255675,0.1565,0.2407,0.0189,-0.35185,0.2522,Consumer Defensive,26.68124147,1
MNST,2464867000.0,0.0972,1125057000.0,1339810000.0,0.0,592305000.0,592305000.0,660809250.0,0.0,520197135.2,135910625.0,414820319.0,412967495.5,0.96,0.92,0.0,0.5436,0.313,0.3026,0.196,0.2301,771439000.0,704315387.1,370323000.0,5000000.0,448755875.0,280755000.0,174573000.0,1653154000.0,1938875000.0,127641000.0,0.0,355716000.0,0.0,0.0,423725000.0,1515150000.0,-168994603.1,25651000.0,597491000.0,-30400000.0,367551375.0,29.84733508,0.0,21.24082482,0.196028832,0.294875,0.3189,0.1898375,12.4481,1.271287216,4.647,3.58831132,0.0,0.0,0.0,4.9123,3.02,8118979393.0,8684481125.0,37.6216,31.9566,6.9018,22.0525,0.0266,0.0,0.0,0.1898375,554673000,0.3189,0.1423,0.3226,0.3047,0.4268,0.418,0.7469,0.8959,0.3649,0.41255,0.0,Consumer Defensive,37.72188931,1
SJM,5610600000.0,-0.0487,2893247664.0,2031000000.0,0.0,818209625.0,1112000000.0,660809250.0,79400000.0,520197135.2,135910625.0,414820319.0,412967495.5,5.34,5.24,1.55,0.362,0.211,0.1656,0.101,0.1047,976678204.7,704315387.1,153500000.0,0.0,153500000.0,309400000.0,243529375.0,1539100000.0,9060200000.0,289200000.0,44812500.0,885800000.0,1354699625.0,2216300000.0,4030600000.0,3681276750.0,257066361.9,256400000.0,770537959.3,-268800000.0,367551375.0,3.220970583,0.002559596,1.709489667,0.100737889,0.2945,0.1124,0.0687,5.9799,0.619257853,1.738,0.52257846,0.2446,0.4407,11.7015,54.1099,41.476125,8118979393.0,8684481125.0,17.8376,17.0719,2.1544,10.1961,0.0561,0.4407,0.2446,0.0687,554673000,0.1124,0.0017,0.0202,0.0094,0.0386,0.084,0.0002,-0.1002,0.0031,0.0105,0.0984,Consumer Defensive,25.63215205,1
CL,5811623250.0,-0.0082,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,24000000.0,520197135.2,135910625.0,414820319.0,412967495.5,2.38,2.36,1.42,0.5851,0.222,0.1967,0.126,0.1471,976678204.7,704315387.1,668219250.0,0.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,1145000000.0,257066361.9,274576875.0,770537959.3,-329093375.0,367551375.0,26.07957926,0.025433798,16.55897989,0.126179314,0.294875,0.3776875,0.1898375,12.3099,1.28367635,1.232,0.669285352,0.4568,2.428325,18.4580625,18.9566,1.256,8118979393.0,8684481125.0,29.0714,24.8169,3.9427,17.7392,0.0344,2.428325,0.4568,0.1898375,554673000,0.37735,-0.009,0.0032,0.0003,-0.0272,-0.0124,0.0293,0.0028,-0.0376,-0.35185,0.0868,Consumer Defensive,-1.348602613,0
ADM,5811623250.0,-0.0958,2893247664.0,2153408831.0,0.0,818209625.0,1392664375.0,660809250.0,103553750.0,520197135.2,135910625.0,414820319.0,412967495.5,3.44,3.43,0.96,0.0587,0.054,0.0426,0.028,0.0499,976678204.7,704315387.1,668219250.0,5000000.0,448755875.0,719095625.0,243529375.0,1679544766.0,11956184656.0,431050863.6,44812500.0,925910625.0,1354699625.0,3334118750.0,7722981625.0,3681276750.0,-168994603.1,274576875.0,770537959.3,-329093375.0,367551375.0,13.32253621,0.020835377,8.39670831,0.027684388,0.1109,0.1145,0.0774,7.8022,1.845603109,1.668,0.58934752,0.1286,0.2883,10.273,69.69345,30.061,8118979393.0,8684481125.0,15.1163,8.3863,0.402,7.4945,0.0662,0.2883,0.1286,0.0774,554673000,0.1145,0.226,0.4276,0.4591,0.6751,0.6946,-0.0542,-0.0612,0.0056,-0.016,-0.1761,Consumer Defensive,-27.7280823,0
